spotify.genre,artist.id,artist.image
rock,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,https://i.scdn.co/image/5b2072e522bf3324019a8c2dc3db20116dff0b87
r&b,spotify:artist:4WC2Edj7Ruq94JH2jkC5hB,https://i.scdn.co/image/d5eae0e6c220808a3155b1fbac00d826e53dbabf
post-grunge,spotify:artist:0dEvJpkqhrcn64d3oI8v79,https://i.scdn.co/image/2f6abd212eea8818957dd95e51c01bba344e9560
r&b,spotify:artist:7Aq8lpLMSt1Zxu56pe9bmp,https://i.scdn.co/image/2f5a91e36347f2fdbce10211ccbb057a09ec0285
gangster rap,spotify:artist:5ILgJERmX20rZuVVDQ7z5P,https://i.scdn.co/image/a89575be5cff898b6b8b5f7a0065cbf5c23321e4
soft rock,spotify:artist:0Ty63ceoRnnJKVEYP0VQpk,https://i.scdn.co/image/019d795f6e3849047c663668aa2b02a713eeb7a3
hip hop,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,https://i.scdn.co/image/f58a98bc92cd2dc7020fc45a45eebb29380048ab
rock,spotify:artist:7dOBabd5O4CvKrg4iriHTM,https://i.scdn.co/image/89f8d2b745e628e73886533744c8df602328874e
rock,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,https://i.scdn.co/image/c1a1b1ba6e7f40a1ac584481bdd6b3c2f305a35c
NA,NA,NA
NA,spotify:artist:3yJnBqAoRUNeDabdYoiYWD,https://i.scdn.co/image/f86a786110f444087bb568b10870c86d09bcc361
pop,spotify:artist:7352aRY2mqSxBZwzUb6LmA,https://i.scdn.co/image/f67a804bc8323d2b5bf616926561a072649f15e4
pop,spotify:artist:5Z1CCuBsyhEHngq3U5IraY,https://i.scdn.co/image/9a6f7698d4ae3b96ccf4a7b207996b9dde1475dc
pop,spotify:artist:3FUY2gzHeIiaesXtOAdB7A,https://i.scdn.co/image/b4cead4873a9be4a417858448ff76ab2c6abd648
r&b,spotify:artist:6I6t21SFbxZ7RbQgD5dN7U,https://i.scdn.co/image/0b0fe11c98c4de7e1b0706793d9f52b68c3aa51c
pop rock,spotify:artist:0SdiiPkr02EUdekHZJkt58,https://i.scdn.co/image/7ee225538168abdbac88c7e5012bcbbc95f40468
pop,spotify:artist:2tFN9ubMXEhdAQvdQxcsma,https://i.scdn.co/image/82af2788a1423143a5edd5ec1c3301df85717590
hip hop,spotify:artist:3ipn9JLAPI5GUEo4y4jcoi,https://i.scdn.co/image/adcc1cb654e89f2e404688ae0d1bbc942ce02e5d
pop rap,spotify:artist:61mwtI8FCpYa9G2NuThRhI,https://i.scdn.co/image/7458b6bf60dd0392ba7eea61cbe811fb9a7dee7a
pop rock,spotify:artist:0ZzYDST6Dib7iYd8hmcLcH,https://i.scdn.co/image/ed0762ab4575a1203983e24d2e2190c774ae0fcb
canadian pop,spotify:artist:6hYrBYtoVGArYJcqvYxN4r,https://i.scdn.co/image/2079f7ded6342a0e03a79bb592f78cb2e7b5884e
country,spotify:artist:24VF2kZrBFn1WvJ5oF1SRf,https://i.scdn.co/image/a0c7e1b8607986cfa949f106874a364882ed3055
latin,spotify:artist:7slfeZO9LsJbWgpkIoXBUJ,https://i.scdn.co/image/784802b5f08cee772805598547334773cfffa140
post-grunge,spotify:artist:6Hizgjo92FnMp8wGaRUNTn,https://i.scdn.co/image/fe9925e3128c7b8723444e76ad509c1a796f5282
r&b,spotify:artist:0AunegKKH2ys98aLxq8G1A,https://i.scdn.co/image/6f6a5894b9ae920ecabb7346667fe6506b416761
country,spotify:artist:2d3VHzlOEwXvmBdS4pzOPL,https://i.scdn.co/image/ae0dcfa7e539dc6f1438e758c0288191f0c421e5
boy band,spotify:artist:0WsQby2bU6kzZcvikYRdms,https://i.scdn.co/image/b5d2445ea7f8af7fa94bceac8b145676512ba1f2
hip hop,spotify:artist:6DPYiyq5kWVQS4RGwxzPC7,https://i.scdn.co/image/e80b9c04ccc4eb6f26af3098e27f35e69eb8c2d3
pop,spotify:artist:26dSoYclwsYLMAKD3tpOr4,https://i.scdn.co/image/7fa2bde8d2837784a847f8201686b257757a749f
pop rock,spotify:artist:3NRFinRTEqUCfaTTZmk8ek,https://i.scdn.co/image/02c28d987084927abb275408965e39794a05d60c
NA,spotify:artist:41TccBHnkaVhhgCgl83JU8,NA
r&b,spotify:artist:4p07QU02SrLsaORo25h2Lg,https://i.scdn.co/image/e7a27602f8437407391bda167e0ae881bfefb172
rock,spotify:artist:2sil8z5kiy4r76CRTXxBCA,https://i.scdn.co/image/6350e3aaea9824904eae87f99bf387024a8034e6
pop,spotify:artist:2LJxr7Pt3JnP60eLxwbDOu,https://i.scdn.co/image/cabf00889ee2239b320730671a3a87df39adb552
hip hop,spotify:artist:6DPYiyq5kWVQS4RGwxzPC7,https://i.scdn.co/image/e80b9c04ccc4eb6f26af3098e27f35e69eb8c2d3
r&b,spotify:artist:336vr2M3Va0FjyvB55lJEd,https://i.scdn.co/image/c69197fa9d01ec73e2617525b920e76b550ba2e2
country,spotify:artist:3ltFy7g6KKQPPttsdOMlq3,https://i.scdn.co/image/1f99377924dd098c8faa2f0729d06952224e7ebb
r&b,spotify:artist:0AunegKKH2ys98aLxq8G1A,https://i.scdn.co/image/6f6a5894b9ae920ecabb7346667fe6506b416761
latin,spotify:artist:1qyAl8T6GTcaOViaI7fs1j,https://i.scdn.co/image/2d8b4cbe5aec9f1229962219c4664b6db9d76d16
r&b,spotify:artist:2I1bnmb9VQEQGKHxvr0gSf,https://i.scdn.co/image/588abbff92446ec0bd740cf837a83c9494d5dfec
hip hop,spotify:artist:1HwM5zlC5qNWhJtM00yXzG,https://i.scdn.co/image/a164c44d2c4260d5c17df105601d0e9bb76f2ef2
NA,NA,NA
country,spotify:artist:6roFdX1y5BYSbp60OTJWMd,https://i.scdn.co/image/17dd25819564cb8cd9c5111d8ac7948615969da5
country,spotify:artist:2M4Yt7oKGoYd0wqU44k4i2,https://i.scdn.co/image/84b847fd5a8d9c16bbd37eac1b482743042de556
europop,spotify:artist:0aNCjE72yyrhKQB1qfPBpi,https://i.scdn.co/image/5d6d9765b3e1f0c78ba4bfb3406679f6e1c20f1f
